- kgethegilego	special
mmasepala wa selete	district municipality
mmašerumu / tekwane	mushroom
mmegaditaba	journalist
mmele	body
mmele wo o phedilego gabotse / mmele wo o phetšego gabotse	healthy body
mmelegedi	surrogate mother
mmelegiši	midwife
mmenyu	menu
mmepe / mmapa	map
mmete / khaphete	carpet
mmetha / selo	matter
mmethi papading ya khirikhete	batsman
mmetli	sculptor
mmetli / khaphenthara	carpenter
mmetli wa maotwana	wheelwright
mmetse	mathematics
mmetse / dipalo / palontshetshere	mathematics / maths
mmetsefase	groundwater
mmino	dance
mmino	music
mmino	musical work
mmino wa Madiba	Madiba jive
mmino wa Seafrika	African music
mmino wa Sekgowa / mmino wa Bodikela	Western music
mmino wa Serašia	Russian dance
mmino wa bogologolo / mmino wa setlelasiki	classical music
mmino wa ditirelo tša sedumedi	ritual dance
mmino wa go binwa go šireleditšwe difahlego	mask dance / masquerade
mmino wa go fola	soul music
mmino wa go keteka go laelana	parting dance
mmino wa go kgopela pula	rain dance
mmino wa go kwagala ka morago	background music
mmino wa go tswapoga	bubble-gum
mmino wa haose	house
mmino wa khwaere	choral work
mmino wa mahlaka	reed dance
mmino wa malopo	trance music
mmino wa okhesetera	orchestra music
mmino wa rokho	rock and roll / rock ‘n’ roll
mmino wa sebjalebjale	modern music
mmino wa sephanka	punk
mmino wa setšo wa Maafrikanere	volkspele
mmino wa setšo wa maikutlo	traditional blues
mmino wa tšhampa / mmino wa go ngwalelwa dihlophana tša diletšo tša go diragatša mafelong a mannyane	chamber music
mmino wo o gatišitšwego	recorded music
mmino wo o sa tswalanego le tumelo	secular music
mmoba	cane sugar
mmoba	sugar cane
mmoelanyi / molamodi	mediator
mmogedi	spectator
mmontšhi	exhibitionist
mmopi / motšweletši	manufacturer
mmotho	motor
mmotho wa mohlagase	electrical motor
mmoto	hill
mmoto	moth
mmotwanatsela / khemba	camber
mmouta a sego	absentee vote
mmouta a sego	absentee voter
mmu wa serota / mobu wa serota / mabu a serota	loamy soil
mmutedi / marole / mmutela	animal manure
mmutedi / marole / mmutela	manure
mmušo	government
mmušo wa bosetšhaba	national government
mmušo wa botee	unitary state
mmušo wa gare	central government
mmušo wa phathi e tee	one-party state
mmušo wa profense / mmušo wa profentshe	provincial government
mmušo wa selete	regional government
mmušo wa setšhaba	national government
mmušo wa setšhaba	national state
mmušo wa tlhakanelo / mmušo wa mohlakanelwa	coalition government
mo bošegong / serobalela	overnight
moabaditirelo tša diselfoune	cellular operator
moabaditirelo tša matlotlo	financial services provider
moabamadi	blood donor
moabatlhokomelo ya maphelo	health-care provider / health provider
moabelwathoto	assignee
moabi	supplier
moabi wa mokitlana / mokolotiši	credit provider
moabi wa pampiri ya go bouta	ballot paper issuer
moadimišipotlana	microlender
moaebi / moaevi	ivy
moagi	builder
moagi / mmeselane	bricklayer
moagišane	neighbour
moago	building
moago wa setšhaba	public building
moagokopo / moagoriba	cantilever
moahlodi	judge
moakanyetšo ka khomphyutha	computer-aided design / Acronym CAD
moakanyetšoputlano / lathisi	lattice
moakhiolotši	archaeologist
moakotši / moakgodi	reserve
moakotši / moakgodi	substitute
moalafi	therapist
moalafšaleboelela	retreatment patient
moamegi	stakeholder
moamogeladiphetogo	progressive
moamogelatokologo ya dikgopolo	liberal
moanegi wa dinonwane	raconteur
moanegwa	character
moano	motto
moaparakgahla-nonglebongbjagagwe / terasi	transvestite / cross-dresser
moatlelete	athlete
mobouti / mokgethi	voter / constituent / elector
mobu / mabu / mmu	soil
mobu o bošidi / mobu o boetšwego	damp ground
mobu wa go ba le letsopa / mobu wa go ba le motaga	clayey soil
mobu wa go nona / mobu wo nonnego	fertile soil
mobu wa go se none	poor soil
mobu wa letsopa / motaga	clay soil
mobu wa serapeng / mobunontšhwa	garden soil
mobugodimo	topsoil
mobuphetakelo / mobuphetatekanyo	excess soil
modante / motante	mordant
modikelela	curve
modikologo / letšokwane / ledietšane	dizziness
modikologo / tikologo	rotation
modikologo / tokološo	revolution
modikologo wa meetse	water cycle
modingwana	god
modiradifilimi	filmmaker
modiradišupanako	clockmaker
modiragatši	administrator
modiragatši	performer
modiragatši	practitioner
modiragatši wa go itlhamela	innovative artist
modiragatši wa mosadi	actress
modiragatši wa sefaleng	stage performer
modirakhutšo	peacekeeper
modirametlae	comedian
modiredi wa maphelo	health worker / health-care worker
modirelaleago	social worker
modirišani	partner
modiriši / mošomiši	consumer
modiriši / mošomiši	end-user
modiriši wa tsela	road user
modiši	shepherd
modu	root
moduboya	root hair
moduboyana / muduntšhuhlana / modusehlogakabontši	adventitious root / fibrous root / bushy root
modudi	citizen
modudi	resident
modudi / moagi	citizen
modudi fela	ordinary resident
modudi wa Afrika Borwa	South African citizen
modudi wa go obamela molao	law-abiding citizen
moduhlakore	lateral root
modukgolo / modutona	main root
modula / pholene	pollen
modula / sethobonna sa leloba / anthere	anther
modulasetulo	chairperson / chair
modumedi	believer
modumo	sound
modumo wa go thulantšha diletšo tše pedi	click
modumo wa mmino	musical sound
modutona / modukgolo	taproot
moeditlhaka	valley
moela	current
moela / nokana	stream
moela wa madi	bloodstream
moela wa mohlagase	electrical current
moela wa mohlagase wo o sa tsenelanego	parallel
moelahlagasethwii	direct current
moelamohlagase / moela	current / electric current
moelamoya	air current
moelatshepetšwa	convection current
moeletši go tša go panka / mothuši go tša go panka	personal banker
moeletši go tša mekitlana / moeletši go tša dikoloto	debt counsellor
moeletši wa mmušo wa tša semolao	state law adviser / state law advisor
moeletši wa tša mašeleng	financial advisor
moeletšidikgethong	pollster
moelo wa Celsius / gerata ya Celsius / tikrii ya Celsius / dikrii ya Celsius	degree Celsius
moemedi	representative
moemedi wa dikgetho	electoral agent
moemedi wa mokgatlo	party agent
moemedi wa sebapadi sa teatere	theatre agent
moemedi wa selegae	local agent
moemedi wa semolao	attorney-in-fact
moemedi wa setšhaba	community representative
moeno	totem
moentšeneare	engineer
moentšenere	engineer
moepo / mmaene	mine
moepo wa malahla	coal mine
moetapele	leader
moetapele tlhohleletšong	cheerleader
moetapele wa sehlopha sa mmino	bandleader
moeti	tourist
moeti	traveller
moetlo wa segologolo / tirelo ya segologolo	ancient ritual
mofenyi / mmetšatholo	winning team
mofenyimotšeakamoka	winner takes all
mofere / mohlaretlakalabokanelete	fir tree
mofetetši / morwalatwatši	carrier
mofini	morphine
mofofiši wa difofane / phaelote	pilot
mofsa / moswa	teenager
mogaditswana / mokgaditswana / mokgaritswana / mphekwa	lizard
mogala / motato / foune	telephone
mogalathušo wa tša boingwadišo / mogalathušo wa go retšisetara	registration help line
mogale	hero
moganadiphetogo	conservative
moganetšapušo	dissident
moganetši wa sepolitiki	political opponent
moganyaganyane / magetlwane / lefela / sefela / mmidi / lehea	green mealie
mogarogo	rash
mogatiši	recording artist
mogatša / molekani	spouse
mogau	favour
mogobe / phulu	pool
mogodi / mmuwane	vapour
mogodu	stomach
mogoeletši	caller
mogogolwa	deposit
mogogonope	rooster
mogokgo / keledi	tear
mogola	tract
mogolo	adult
mogolo	throat
mogolo / moputso	salary
mogolo wa pele ga nako / moputso wa pele ga nako	salary advance
mogolo wo o šetšego / moputso wo o šetšego	net salary
mogolo woo o šetšego / moputso woo o šetšego	net salary
mogolodi	blue crane
mogolofadi	disabled person
mogolokakaretšo / moputsokakaretšo	salary package / pay package / remuneration package
mogolotlhohleletšo / mogolo wo o lekanego	efficiency wage
mogoo / mogwagwaetšo	croak
mogopo / sebjana	trophy
mogopo wa FIFA wa lefase / sebjana sa FIFA sa lefase	FIFA world cup
mogopo wa FIFA wa thaloko e botse / sebjana sa FIFA sa thaloko e botse	FIFA fair play trophy
mogopolo / monagano	mind
mogoti / moenyane / mošitiši / mmonyane	blackjack
mogwanto	march
mogwebanoši	sole proprietor
mogwebanoši	sole trader
mogwebi	entrepreneur
mogwebišani	trading partner / trade partner
mogwera / mokgotse	friend
mogwete / motete	anus
mohlabaneladino / mošireletšadino	defender / fullback
mohlagare	jaw
mohlagare wa ka fase	lower jaw
mohlagare wa ka godimo	upper jaw
mohlagase	electricity
mohlagasegohlwa	static electricity
mohlagašana	premolar
mohlahlamoswaradino / morutantšhimoswaradino	goalkeeper coach
mohlahlana	cabin
mohlahli / morutantšhi	coach / head coach / trainer
mohlahli / mothuši / moeletši	mentor
mohlahli wa mmino	répétiteur
mohlahlikeletši	counsellor
mohlaka	swampy area
mohlaka	wetland
mohlakamotala / mohlare wa talamolebe / talamofelale / dula o talafetše	evergreen tree
mohlakodi	mugger
mohlakodiši	lifeguard / lifesaver
mohlala	example
mohlala	trail
mohlala / phrothothaepe	prototype
mohlala wa nnete bophelong	real-life example
mohlamadipolane / moakhitheke	architect
mohlami / sehlami	designer
mohlami wa difilimi / mohlami wa paesekopo	moviemaker
mohlami wa dikoša	songwriter
mohlami wa go ikemela / mongwadi wa go ipereka	freelance composer
mohlami wa jese	jazz artist
mohlana / motse / plasentha	placenta
mohlankedi wa dikgetho	election official
mohlankedi wa dikgetho	electoral officer / returning officer
mohlankedi wa dikgetho	polling officer / voting official
mohlankedi wa dikgetho tša selegae	local electoral officer
mohlankedi wa dikgetho wa selete	district electoral officer
mohlankedi wa dikgokaganyo wa mokgatlo	party liaison officer
mohlankedi wa go balela dibouto	counting officer
mohlankedi wa khutšo	peace officer
mohlankedi wa mmušo / mošomedi wa mmušo / modiredi wa mmušo	public servant / civil servant
mohlankedi wa sehlopha	team official
mohlankedi wa selete	district officer
mohlankedi wa tša kobamelo / moofisiri wa tša kobamelo	compliance officer / CO
mohlankedimogolo wa dikgetho	chief electoral officer
mohlape	flock
mohlapetši wa bošego	night guard
mohlare	tree
mohlare wa bodhi	bodhi tree
mohlare wa dienywa	fruit tree
mohlare wa dikhoune	cone-bearing plant
mohlare wa meetlwa	thorn-tree
mohlare wa setlogo	indigenous tree
mohlaremogolo / semelagolo	parent plant
mohlasedi	attacker / forward / striker
mohlašana wa Busy Lizzie	busy Lizzie
mohlašana wa Josefa / mohutamore wa Josefa / mohutamohlare wa Josefa	Joseph’s coat
mohlašana wa stroperi / stroperi	strawberry
mohlohlono	pruritus
mohlokomedi	caregiver / carer
mohlokomedi	guardian
mohlokomedi wa ditšweletšwa tša bokgabo / mohlokomedi wa ditšweletšwa tša botaki	curator
mohlokomedi wa ngwana / moledi	babysitter
mohlokomedi wa semolao	legal guardian
mohlokomediphelo / mmulamadibogo	gatekeeper
mohlokomela serapa sa diphoofolo / mohlokomela dizoo	zookeeper
mohlolakgopolo / motšwetšakgopolo	opinion maker
mohlophaganobato / monamelanobato	storey / floor
mohlwamalaong	bedridden
mohlwekiši	cleaner
mohola / bohlokwa	importance
mohola / bohlokwa / boleng	value
mohola / modiro / mošomo	function
mohola / tirišo / tirišo ya go itshama / tirišo ya go ikgotla	function
mohuetši / mokalatši	lobbyist
mohuta wa mabu / mohuta wa mobu / mohuta wa mmu	soil type
mohuta wa mmino	musical idiom
mohuta wa mmino wa go tabogataboga	body popping
mohuta wa peeletšo	investment product
mohutakwena / alikeitha	alligator
mohutasemela	plant type
mohutathoro	grain sort
mohutatšie	grasshopper
mohwapeakanyorapo mmele / sekelethone	skeletal system
mohwapeakanyotaololemifi	lymphatic system
mohwapoloko wa panka wa karolwana ya tšhelete	fractional reserve system
moipelaetši	appellant
moithaopi	volunteer
moithutadimela / setsebadimela	botanist
moithutaditšhaba / moantheropholotši	anthropologist
moithuti	student
moithuti wa jese	jazz student
moithutimmogo / wa mphato	classmate
moitlami	indemnitor
moišatšhupatefelo	bearer
mojalefa	beneficiary
mojanotatelano / fututšheine / tatelano ya go jana ga diphedi / neeletšano ya dijo	food-chain
mokanangwana	bicycle kick
mokanangwana	overhead kick
mokapelo / therase	truss
mokapotene	captain / skipper
mokatiši	jockey
mokerenke / kerenke / mokerenko	crank
mokerenke / kherenke / mokerenko	crank
mokero / foro	furrow
mokero wa ditšhila	sewer
mokerokelatšhila / kelaboelatšhila / peakanyoboelatšhila	drainage
mokgabišopolanka	veneer
mokgabiṧo	decoration
mokgahlwa ke wa bong bja go fapana le bja gagwe	heterosexual
mokgatlo	organisation
mokgatlo wa badudi	civic association
mokgatlo wa badudi	civil association
mokgatlo wa bokgabo wa setšhaba	community arts organization
mokgatlo wa bontši	majority party
mokgatlo wa dikhamphani tša go dirišana go laola ditefelo / khathele	cartel
mokgatlo wa dipolotiki / phathi ya dipolotiki	political party
mokgatlo wa ditokelo tša mmino	music rights organisation
mokgatlo wa go hlangwa ka molao wa palamente	statutory institution
mokgatlo wa kganetšo	opposition party
mokgatlo wo o sego wa mmušo	nongovernment organisation / NGO
mokgatlo woo o ngwadišitšwego / mokgatlo woo o retšisetarilwego	registered party
mokgatlokganetšo	opposition
mokgethi wa go lokaloka	floating voter / undecided voter
mokgethi wa go se kgone go bala le go ngwala	illiterate voter
mokgethi wa maloka	eligible voter
mokgethi wa motšofadi	aged voter / elderly voter
mokgethi yoo a ngwadišitšwego / mokgethi yoo a retšisetarilwego	registered voter
mokgobo / thothobolo	heap
mokgobokanyimoithuti wa ditempe / filatheliste	philatelist
mokgoboketšababeeletši ka inthanete	crowdfunder
mokgoboketši wa phoremiamo	premium collector
mokgohlane / mpshikela	common cold / cold
mokgopa / mokgopha	hide
mokgopho / motlotšo	smear
mokgwa / mokgwatšhomo	mode
mokgwa / tsela	method
mokgwa / tsela	system
mokgwa / tsela / peakanyo	system
mokgwa wa Hindu-Arab	Hindu-Arabic system
mokgwa wa bophelo / mokgwaphelo	lifestyle
mokgwa wa go dira / mokgwatlhamolešela / botsebitlhamo	fabrication technique
mokgwa wa go hlabeletša / bohlabeletši	anti-phonal style
mokgwa wa go hwetša matlotlo / mokgwa wa go aba matlotlo	financing
mokgwa wa go hwetša matlotlo / mokgwa wa go abelwa matlotlo	financing
mokgwa wa go ithuta	study method
mokgwa wa go sepetša	propagate
mokgwa wa ka pela	quick method
mokgwa wa mokerenke	crank mechanism
mokgwa wa pene le lephephe	pen-and-paper method
mokgwa wa phetošo	reverse order
mokgwa wa pušo	regime
mokgwa wa thutapalo	arithmetic technique
mokgwa wa tirišomotšhene	mechanical advantage
mokgwa wa tlhophopalelontšhi / molawana wa go tlhopholla palelontšhi	distributive property
mokgwa wo mobotse wa go diriša selefoune	cellphone etiquette
mokgwa wo mobotse wa go šomiša mogala	telephone etiquette
mokgwa wo mobotse wa maphelo	healthy living / healthy lifestyle
mokgwa wo mokopana	short method
mokgwakabo wa ditulo	Hare quota
mokgwakabo wa go se lekalekanele	index of disproportionality
mokgwakgetho wa bohle wa bosetšhaba / referantamo	plebiscite / referendum
mokgwakgetho wa go kgetha mokgatlo	party-centered ballot
mokgwakgwahlišo / mokgwatiišo	bridging
mokgwakgwebišano wa go hloka melawana	over-the-counter market
mokgwapeakanyo madi	circulatory system
mokgwapeakanyo mohlapologo / mokgwapakanyomoroto	urinary system
mokgwapeakanyokhemo	respiratory system
mokgwapeakanyomadi	circulatory system
mokgwapeakanyomegalatšhikagare	central nervous system / CNS
mokgwapeakanyomohlapologo / mokgwapakanyomoroto	urinary system
mokgwapeakanyontšhotšhilammeleng	excretory system
mokgwapeakanyothaka	endocrine system
mokgwapeakanyošifa / peakanyo wa digoba	muscular system / musculature
mokgwapeakanyošifarapo	musculoskeletal system
mokgwaphereo / mokgwatošo / mokgwaperebetšo	courting ritual
mokgwaphetolelo ya dibouto go ditulo	electoral formula
mokgwaphetolelo ya dibouto go ditulo	electoral formula / calculation of seats
mokgwapoloko wa go fiša setopo	cremate
mokgwapušo	dispensation
mokgwapušo wa sefeterale	federalism
mokgwatesimalee	decimal system
mokgwathibelo ka lepheko	barrier method
mokgwatho	touch
mokgwatiro / khraetheria	criterion
mokgwatlhahlo / mokgwathušo / mokgwakeletši	mentoring
mokgwatshepetšo	propagation
mokgwatshepetšo wa dikgetho	election system / electoral system
mokgwatshepetšo wa dikgetho	voting system
mokgwatšhilego / mokgwa wa tšhilego ya dijo / tsela ya tšhilego ya dijo	digestive system
mokhantshelara	councillor
mokhantshelara wa wate	ward councillor
mokhemese	chemist / pharmacist
mokhubo / mokhuba	navel / belly button
mokhubo wa lepatlelo	centre mark / centre spot
mokhutšo wa merethetho ye mebedi ya nnoto	minim rest / half rest
mokitimi / sekitimi	runner
mokitimo wa go gakantšha	dummy run
mokitlana / sekoloto	credit
mokitlana / tefelo ka go kompetša	amortisation
mokitlana wa direkwantle / sekoloto sa ditšwantle	import credit
mokitlana wa mmušo	government debt
mokobe	spur
mokobe / lenalakubegi	blunt nail
mokoko / mogogonope	cock
mokokomalo / tengkhwibidu	dysentery
mokokotlo	vertebrate
mokokotlo / mokolo	vertebral column / spinal column / backbone
mokokotlo / mopopotlo	ridge
mokolelwa / mokotelediwang	creditor
mokoloti	debtor
mokomišenare wa papadi	match commissioner
mokomonisi	communist
mokopanyi	coordinator
mokoro / seketswanakota / khenu	canoe
mokotla wa dibouto wa polasetiki	plastic ballot bag
mokotla wa pampiri	paper bag
mokotla wa polasitiki	plastic bag
mokotla wa thušo ya pele / lepokisi la thušo ya pele	first-aid kit
mokotlamoya / aleviyolase	alveolus
mokukaditšhipi	weightlifter
mokurwane / mokunkurwane	turtle dove
mokutwana / mohlahlana / mokhukhu	prefabricated house
mola / sekgoba sa gare ga methaladi ye e bapetšego	row
molaba	offside trap
molaetša ka elekthroniki	email / mail / electronic mail
molaetša wa mogala	telephone message
molagare / taemetha	diameter
molagare wa ka ntle	outer diameter
molala	neck
molalatladi	rainbow
molamodi / monamodi	arbitrator
molao	act
molao	law
molao	rule
molao	statute
molao le toka	law and order
molao wa BODMAS	BODMAS rule
molao wa bašomi	labour law
molao wa dikgetho	electoral law
molao wa dino tša go nwešwa fao e sego gae	away goal rule
molao wa ditokelo	bill of rights
molao wa ditokelo	bill of rights / bill of human rights
molao wa go fa monyetla / molao wa go fa sebaka	advantage clause / advantage rule / advantage law
molao wa go matlafatša	delegated legislation
molao wa palamente	act of parliament
molao wa palelo	calculation rule
molao wa tsela	traffic rule
molaodi wa botaki / molaodi wa bokgabo	artistic director
molaodi wa dipeeletšo	investment manager
molaodi wa lepokisi la go boutela	ballot box controller
molaodi wa letlotlo	asset manager
molaodi wa mmino	music director
molaodi wa monyakong	door controller
molaodi wa ntlwana ya go boutela	ballot booth controller / voting booth controller
molaodi wa papatšo	brand manager
molaodi wa photefoliyo	portfolio manager
molaodi wa sefepikgokanyi inthaneteng / wepmastara	webmaster
molaodi wa sehlopha	team manager
molaodi wa sekhwama	fund manager
molaodi wa tša matlotlo	financial regulator
molaodipharephare	director-general
molaokakanywa	bill
molaokakanywa wa ditšhelete	money bill
molaokakanywa-phetošwa	amendment bill
molaokakanywa-tekanyetšo	appropriation bill
molaokakanywatlhangwa	draft bill
molaokakanywatšhitišo	hybrid bill
molaoladithelefomo	switchboard operator
molaolamoraladi	queue-walker
molaolapapadi / molaolathaloko	match official
molaolasephethephethe	traffic officer / traffic policeman
molaomogolo	principal act
molaotekanyetšo	appropriation act
molaotheo	constitution
molaotheo wa magareng	interim constitution
molaotheo wa profentshe / molaotheo wa profense / molaotheo wa provense	provincial constitution
molaotshepedišo / maikemišetšo	policy
molaotšhomišo wa inthanete / molao wa inthanete	cyber law
molaphenyo	finish line
molapo / tapo	exhaustion
molapomogolo	burnout
molasese	molasses
molaske	mollusc
molato	guilt
molato wa lephopholo	indecent assault
molawana	by-law / bye-law
molawana	ordinance
molawana wa bontši	majority principle / majority rule
molawana wa phapantšhotatelano / mokgwa wa phapantšhotatelano	commutative property / order property
molawana wa polokego	safety rule
molawanatlhopho / tlhophotlhakantšho le tlhophokatišo / molawanakgetho	associative property / grouping property
moleamohlakgasephetoga	alternating current
molebe / tatanyane / tatamolebo / thendrile	tendril
molebeledi	observer
molebeledi wa boditšhabatšhaba	international observer
molebeledi wa maloka	accredited observer
molebo / morapo / motatane	runner
moledi wa mosegare fela / mofepi wa mosegare fela	day mother
molefamotšhelo / molefalekgetho	taxpayer
molefaufau	astronaut
molekane yoo a se nago phetetšo	uninfected partner
molekani / moratiwa	partner / sexual partner
molekani go tša thobalano	sexual partner / sex partner
molekanyetšaboleng / molekanyetši wa boleng	valuer / valuator
molekhule	molecule
molekodi wa ditefelo tša diphoremiamo	underwriter
molekodi wa lenaneo la bakgethi / molekodi wa lenaneo la babouti	voters’ roll officer
molelokofela	back-bencher
molemi / mongpolasa / mongpolase	farmer
moletakgoro / moletangwako	serjeant-at-arms / sergeant-at-arms
molete / lešoba / mokoti / mošima	hole
molete wa legotlo	rat hole
moletekgwara / khwari	quarry
moletephagamiši / moletelifithi	lift pit
moletephihlelelo	manhole
moletephihlelelo / mokotiphihlelelo	access chamber
moletlo wa bošego	soirée / soiree
moletlo wa go amogela ngwetši	wedding reception
moletlo wa mmino wa tšhampa	chamber music festival
moletlo wa tlhomamišo	inauguration ceremony
moletlo wo o ikgethilego	special occasion
moletšafuluti	flautist
moletšafuluti wa go hloka maitemogelo / mmapalafulutu wa go hloka maitemogelo	fledgling flautist
moletši wa dinaka / moletši wa diphala	woodwind player
moletši wa tšhakgatšhakga	percussionist / percussion player
molidenamo	molybdenum / Mo
mollišwa	indemnitee
mollo	fire
mollo wa hlaga	veld fire
mollo wa malahla	coal fire
mollo wa mohlagase / tšhatšho ya mohlagase	electrical charge
mollwane	boundary / boundary line
mollwane wa boetapele bja selegae	local authority boundary
mollwane wa ka gare	inner perimeter / inside neutral area
mollwane wa magomo a motsesetoropo	urban cadastral boundary
mollwane wa selete	district boundary
molodi	melody
molodi wa Seafrika	African melody
molodi wa bogologolo / molodi wa setlelasiki	classical melody
molodi wa liliti / molodi wa go rethetha	lilting melody
mologi	weaver
mologo wa dipheta	beadwork
moloko	kinship
molokoloko	series
molokoloko wa kere	gear train
molomo	mouth
molomo wa nonyana	beak
molomo wa popelo	cervix
molomononyanankgopo	curved beak
molongwana	spout
molorabešetšwathume	pulverised fuel ash / fly ash
moloreng	penalty mark / penalty spot
moloreng	penalty spot penalty mark
molwantšhakgethologanyo ya semorafe	anti-apartheid activist
molwelaphetogo	radical
molwelasetšo	cultural activist
molwetši	patient
molwetši wa bolwetši bja go fetela	infectious patient
molwetši wa bolwetši bja go se fetele	non-infectious patient
molwetši wa swikiri / molwetši wa taepetisi / molwetši wa daepethisi	diabetic
molwetši yo mmele wa gagwe o hlokago boitšhireletšo	immunocompromised patient
molwetšibakwabadimo / molwetšidiphateng	high-risk patient
molwetšikalafotura / molwetšikalafobitša	high-cost patient
momagano	agglomeration
momagantšho / kopantšho	scarf joint / scarph joint
mometšo	oesophagus / esophagus
mona / tseba / lehufa	jealousy
monabo / bonabo / boikalo	scope
monamedi	passenger
monang	mosquito
monatla / monatlana	talon
moneelo	donation
monego / osemosisi	osmosis
monepanaledi	astronomer
monga / lenga / lera / lerwa / mphatša	fissure
mongongoregi / molli	complainant
mongpholisi	policyholder
mongwadi wa dintlha	score-keeper / scorer
mongwadi wa mantšu a dikoša tša go diragatšwa	librettist
mongwadi wa tiragatšo	playwright
mongwaledipharephare	secretary general
mongwalopalo wa nomoropedi	binary operation / binary notation
mongwalopalokatološo	expanded notation
mongwalopalotesimale	decimal notation
mongwapo / go ngapega	excoriation
mongwili / mongthesetamente	testator
monkgo / go nkgelela	smell
monna wa go se fihle kgahlego ya thobalano le banna ba bong bja gagwe	openly gay
mono / palotee	digit / figure
monoga	subsurface water
monolofatši	facilitator
monomara	monomer
monontšha / manyora / mmutedi / mmutele / morole	fertiliser
monontšhetšateng / nontšho ya ka gare	internal fertilization
monontšhontle	external fertilisation
monosakharaete	monosaccharide
monsošamodiro	presiding officer
monthetše	montage
monwana	finger
monwanaleoto	toe
monwešanno / monošantlha	goalscorer
monyanya wa difilimi	film festival
monyetla	opportunity
monyetla wa bareki	market
mooki	nurse
mooko	bone marrow
mooko	measles
moopedi wa falesetho	falsetto singer
moopedi wa jese	jazz singer
moopedi wa lenyalong	wedding singer
moopedi wa mmino wa sekeresete	gospel singer
moopedi wa ophera	opera singer
moopediši	conductor
moopelo	vocals
mootledi	driver
mootledi wa ka mehla / moreidi wa ka mehla	regular driver
mootledi wa paesekela	cyclist
mootledi yo a kgethilwego	nominated driver
mootlwa	thorn
mopalema	palm tree
mopento wa lebotong	wall painting
moperekisi	peach tree
mophatlalatši wa mmino / mogatiši wa mmino	music publisher
mophelakgahla-nonglebongbjagagwe	transsexual
mophenkgišani / mmakišani	opponent
mophentšhenara / phentšhena	pensioner / retiree
mopolitiki	politician
mopopoliri	poplar / poplar tree
moporesitente	president
moporesitente yoo a sego a hlonamišwa	president-elect
moporofeta	prophet
mopremia / tonakgolo	premier
mopremiamotšwaoswere / tonakgolomotšwaoswere / moswarelatonakgolo	acting premier
mopresidente / presidente / mopresitente / presitente	president
mopresidentemotšwaoswere / mopresitentemotšwaoswere / moswarelamopresitente / moswarelamopresidente	acting president
mopu / manhlakane	wasp
moputso / mogolo	wage
moputso / poelo	score
moputso wa tlasetlase ka semolao	minimum wage
moputso wo o lekanego / mogolo wa maswanedi	living wage
moputso wo o okeditšwego / mogolo wo o fetago wo o emetšego	wage drift
moputsontši / tefontši	lump sum
moputsotlasetlase wa tumelelano	reservation wage
morafe	race
morafe	tribe
moragakanngele	left-footed player
moragaphenale	penalty-taker
morago	back
morago / ka morago	after
morago ga	behind
moralokakammagoja / moralokakalagoja	right-footed player
morara / moterebe	vine
moratho	pier
moratho / leporogo / letšibogo	bridge
morathodiko / esekhaleithara	escalator
morathosekaatšhe / morathoakhe	arch bridge
morati wa jese	jazz aficionado
morati wa jese	jazz lover
morati wa mmino	music lover
moratiwa wa monna	boyfriend
moratiwa wa mosadi	girlfriend
moreki	customer
morekiši wa dithoto wa semolao / likhwideitha	liquidator
morekiši wa mebileng	vendor
morekiši yo a sepelago gohle / semaušu	hawker
moremadikota	woodcutter
morepa / potata	sweet potato
morephaditho	paraplegic
morerišanimogolo	key negotiator
morero wa palamente	business of parliament
morethamotšhene / modirišamotšhene	machinist
morethetommoetša wa maphotho	frequency
moriri / boya	hair
morithi	shade
morithi	shadow
moriti / moriti wa senepe	film negative
morodi	lead
morodi	solder
morogo	vegetable
morogo wa selemo	summer vegetable
morokola / moropola / tšhwana / tšhuduba	awl
moromedi	sender
moromelwa / kemedi	delegate
moromiwa wa dithoto	courier
moropa	drum
moropa wa rekere	rubber drum
mororo / lerephupeu / khotelitone	cotyledon
morotholotšana	moisture
morouse / mohlare wa rouse	rose tree
morudi / mothulatšhipi / mokgatlatšhipi	blacksmith
morulelohlatlagano	course
morumo	edge / border
morumo / bogomo	margin
morumo / leši	edge
morumo / lešošo / motsetse / motshetshe	crease
morumobokasaga	serrated edge
morumokgabišo / akhithereifi	architrave
morumokgabišo / foromo / sebopatena	brick mould
morumokwano	rhyme
morumontlhasehloa / arisi	arris / arris edge
morumopadi	counting rhyme
morumotlakala	leaf margin
moruswi / lefiso / paolo / thiswana	bowl
morutiši	educator
morutiši wa sethaka / morutiši wa semphato	peer educator
morwalamaikarabelo	surety
mosadi yoo a ratanago le basadi / tshadinkatona	lesbian
mosago	sawing
mosagong	sawmill
mosaiki / bokgabo bja dibenyane	mosaic
mosarasarane	shower
mosebe / motsi	arrow
mosegasegane	honeysuckle
mosego	curler / banana kick
mosehlo / mosego	incision
mosehlwa	segment
mosehlwana / seripa / sephatlo	segment
mosekamo	gradient
mosekaseki wa kgwele ya maoto	soccer analyst
mosekaseki wa tša matlotlo	financial analyst
moseke	mosque
mosela	tail
moselameetsefula	storm sewer / storm drain
moselana	weep hole
mosenyetšwa	third party
mosenyi	violator
mosepelakadinao	pedestrian
mosepelo	locomotion
mosepelo	motion
mosepelo	movement
mosepelo / tshepelo / tšhutho	mobility
mosepeloputla wa malokwane	diagonal system of control
mosepetšaposo / morwalaposo	postman
moseterooperi	strawberry
