- kgethegilego	special
Dipapadi tša Olimphiki	Olympic Games / Olympics
Disemere	December
Ditirelotšhoganetšo tša Bana	Child Emergency Services
Ditšhaba Kopano / UN	United Nations
EISA	Electoral Institute for Sustainable Democracy in Africa
EISA / Institute ya Dikgetho tša Tšwelopele ya Temokerasi ka Afrika	Electoral Institute for Sustainable Democracy in Africa
FIFA / Mokgatlokopano wa Boditšhabatšhaba wa Kgwele ya Maoto	Fédération Internationale de Football Association / Federation of International Football Associations / FIFA
Febereware	February
Fesetibale ya Bokgabo ya Bosetšhaba	National Arts Festival
Free Kiba / mebino ya merafe ya go fapafapana	Free Kiba
HAART / kalafi yeo e tseneletšego ka diokobatši tša go ditela HIV	HAART / highly active antiretroviral therapy
Hanukkah / moketeko wa phenyo wa Majuta ge ba thopa tempele ya bona gape	Hanukkah
ID / pukwana ya boitsebišo	identity document / ID / ID book / ID document / identity book
Inthanete	Internet
Janaware	January
Judaism / tumelo ya Sejuta	Judaism
Julae	July
Karolo ya Khantshele ya Metheropholithene ya Nako ya Phetolelo	Transitional Metropolitan Substructure / TMS
Kgoro ya Bašomi	Department of Labour
Kgoro ya Bogwebi le Bohlagiši	Department of Trade and Industry
Kgoro ya Bokgabo le Setšo	Department of Arts and Culture
Kgoro ya Dikgokaganyo	Department of Communications
Kgoro ya Dikgwebo tša Setšhaba	Department of Public Enterprises
Kgoro ya Dinamelwa	Department of Transport
Kgoro ya Dipapadi le Boitapološo	Department of Sport and Recreation
Kgoro ya Dirafša le Maatla / Kgoro ya Diminerale le Enetši	Department of Minerals and Energy
Kgoro ya Ditirelo tša Tshokollo	Department of Correctional Services
Kgoro ya Maphelo	Department of Health
Kgoro ya Matlotlo	Department of Finance
Kgoro ya Mengwako	Department of Housing
Kgoro ya Merero ya Legae	Department of Home Affairs
Kgoro ya Merero ya Meetse le Kagodikgwa	Department of Water Affairs and Forestry
Kgoro ya Merero ya Naga	Department of Land Affairs
Kgoro ya Merero ya Tikologo le Boeti	Department of Environmental Affairs and Tourism
Kgoro ya Merero ya ka Ntle	Department of Foreign Affairs
Kgoro ya Mešomo ya Mmušo	Department of Public Works
Kgoro ya Polokego le Tšhireletšego	Department of Safety and Security
Kgoro ya Pušoselegae le Probentshe / Kgoro ya Pušoselegae le Profense / Kgoro ya Pušoselegae le Provense	Department of Provincial and Local Government
Kgoro ya Taolo le Tirelo ya Mmušo	Department of Public Service and Administration
Kgoro ya Temo	Department of Agriculture
Kgoro ya Thuto	Department of Education
Kgoro ya Tlhabollo ya tša Setšhaba	Department of Social Development
Kgoro ya Toka le Tlhabollo ya Molaotheo	Department of Justice and Constitutional Development
Kgoro ya Tšhireletšo	Department of Defence
Kgoro ya tša Mahlale le Theknolotši / Kgoro ya Saense le Theknolotši	Department of Science and Technology
Kgorotsheko ya Dikgetho	Electoral Court
Kgorotsheko ya Godimo	High Court / Supreme Court
Kgorotsheko ya Molaotheo	Constitutional Court
Kgorotsheko ya Molaotheo	Constitutional Court / RSA
Khantshele ya Boentšenere ya Afrika Borwa	Engineering Council of South Africa / Acronym: ECSA
Khantshele ya Bokgabo ya Bosetšhaba	National Arts Council
Khantshele ya Metheropholithene ya Nakong ya Phetolelo	Transitional Metropolitan Council / TMC
Khantshele ya Selegae ya Nako ya Phetolelo	Transitional Local Council / TLC
Khantshelephethiši ya Nakong ya Phetolelo	Transitional Executive Council / TEC
Khomišene ya Dikgetho ya go Ikema / IEC	Independent Electoral Commission / IEC / Electoral Commission / EC
Khomišene ya Ditokelo tša Botho	Human Rights Commission
Khomišene ya Ditokelo tša Botho ya Afrika Borwa	South African Human Rights Commission / SAHRC
Khomišene ya Kgodišo le Tšhireletšo ya Ditokelo tša Ditšo, Bodumedi le Dipolelo tša Ditšhaba	Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities
Khomišene ya Phatlalatšo ya Ditaba yeo e Ikemego	Independent Media Commission
Khomišene ya Pušetšo ya Ditokelo tša Naga	Commission on Restitution of Land Rights
Khomišene ya Setšhaba ya Baswa	National Youth Commission
Khomišene ya Tekatekano ya Bong	Commission on Gender Equality / CGE
Khomišene ya Tirelo ya Semolao	Judicial Service Commission
Khomišene ye e Ikemego ya Dikgetho	Independent Electoral Commission / IEC
Komiti ya Bolamodi / Komiti ya Bonamodi	mediation committee
Komiti ya Dikgatako tša Ditokelo tša Batho	Committee on Human Rights Violations
Komiti ya Khutšo ya Setšhaba	National Peace Committee
Komiti ya Lekgotla la Setšhaba la Diprofentshe / Komiti ya Lekgotla la Setšhaba la Diprofense / Komit ya Lekgotla la Setšhaba la Diprovense / Komiti ya NCOP	National Council of Provinces Committee / NCOP Committee
Komiti ya Ngwako Ohle / Komiti ya Ngwako Wohle	Committee of the Whole House
Komitiphetišo-kopanelwa	Joint Executive Committee
Koran	Koran / Qur'an
Kuranta ya Mmušo	Government Gazette
Kwano ya Khutšo ya Setšhaba	National Peace Accord
LaMorena / Sontaga	Sunday
Labobedi	Tuesday
Labohlano	Friday
Labone	Thursday
Laboraro	Wednesday
Lee la aseka	Easter egg
Lekgotla la Dimusiamo tša Afrika / Khansele ya Dimusiamo tša Afrika	Council of African Museums
Lekgotla la Maloko a Palamente / NA	National Assembly / NA
Lekgotla la Molaotheo	Constitutional Assembly / CA
Lekgotla la Setšhaba la Diprofentshe / Lekgotla la Setšhaba la Diprofense	National Council of Provinces / NCOP
Lekgotla la Setšhaba la Diprofentshe / Lekgotla la Setšhaba la Diprofense / Lekgotla la Setšhaba la Diprovense	National Council of Provinces / NCOP
Lekgotlaphethišo / Lekgotlaphethiši / Khuduthamaga	Executive Council
Leloko la Lekgotlapeamelao la Probentshe / Leloko la Lekgotlapeamelao la Profense / Leloko la Lekgotlapeamelao la Provense	Member of Provincial Legislature / MPL / Member of the Provincial Parliament / MPP
Leloko la Palamente / MP	Member of Parliament / MP
Lenaneo la Tlhabollo le Kagolefsa / Lenaneo la Tlhabollo le Kagoleswa / RDP	Reconstruction and Development Programme / RDP
Lenaneo la Tlhabollo ya Setšhaba	Population Development Programme
Lenano la Mediro ya Setšhaba	National Public Works Programme
Letšatši la Basadi	Women's Day
Letšatši la Baswa / Letšatši la Bafsa	Youth Day
Letšatši la Bašomi	Worker's Day
Letšatši la Bohwa	Heritage Day
